,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
2101,603718,海利生物,4.3,23.74,63.6065,46.4915,0.0721,195.7555,0.3039
2102,300385,雪浪环境,4.3,7.65,24.781,49.2916,0.3787,643.913,4.948
2103,002216,三全食品,4.29,2.13,34.2006,89.5054,0.1101,4192.0993,5.1599
2104,600220,江苏阳光,4.29,5.19,22.0544,92.2747,0.0517,1775.7465,0.9957
2105,002758,华通医药,4.29,2.44,14.7101,27.5464,0.1311,1127.155,5.3674
2106,002584,西陇科学,4.29,2.93,14.606,76.2353,0.1302,2595.0356,4.4343
2107,002446,盛路通信,4.29,12.11,31.3806,121.2177,0.159,1000.4862,1.3127
2108,002761,多喜爱,4.27,4.89,41.6365,29.7752,0.1459,608.7506,2.984
2109,000970,中科三环,4.27,6.24,20.4982,187.7097,0.1762,3007.9819,2.8238
2110,600523,贵航股份,4.26,4.62,21.5779,97.4289,0.2409,2107.4137,5.2123
2111,002654,万润科技,4.26,4.1,16.2655,140.3478,0.1554,3417.6899,3.7864
2112,603711,香飘飘,4.26,5.0,36.5508,84.0046,0.21,1679.9743,4.1998
2113,603001,奥康国际,4.26,7.89,36.1813,172.1835,0.4294,2181.283,5.4398
2114,300052,中青宝,4.25,16.57,56.6738,33.0849,0.1249,199.655,0.7542
2115,603922,金鸿顺,4.25,5.98,18.3835,48.0986,0.3757,803.8197,6.2798
2116,601996,丰林集团,4.24,10.08,22.6925,109.9901,0.0956,1090.3998,0.9486
2117,002808,恒久科技,4.24,10.47,19.4685,23.5485,0.1226,224.8163,1.1709
2118,600037,歌华有线,4.23,30.35,29.5474,546.8873,0.3929,1801.5553,1.2944
2119,600929,湖南盐业,4.23,6.01,45.7411,99.3392,0.1082,1652.2394,1.8003
2120,603050,科林电气,4.23,5.84,28.1889,42.2744,0.2605,722.8071,4.455
2121,300651,金陵体育,4.22,10.51,39.9693,27.015,0.3567,256.8992,3.3921
2122,600967,内蒙一机,4.22,4.87,10.9436,349.3051,0.2067,7160.6056,4.2379
2123,000623,吉林敖东,4.22,37.38,72.2436,895.8845,0.7704,2396.6482,2.0611
2124,300075,数字政通,4.22,14.59,38.1961,90.664,0.2136,621.1732,1.4638
2125,600239,云南城投,4.22,3.25,39.3667,227.5264,0.1417,6992.8542,4.355
2126,000547,航天发展,4.21,14.87,43.4456,236.8322,0.1656,1592.251,1.1137
2127,601688,华泰证券,4.21,35.78,46.4921,4479.8034,0.5429,12519.2436,1.5172
2128,000937,冀中能源,4.21,5.2,24.5272,848.7274,0.2401,16298.9327,4.6126
2129,300486,东杰智能,4.21,10.4,27.7921,45.576,0.2819,438.1306,2.7108
2130,600760,中航沈飞,4.21,2.69,7.7581,312.69,0.2237,11592.9271,8.2971
2131,002817,黄山胶囊,4.2,13.6,33.0097,28.8446,0.3328,211.9997,2.4459999999999997
2132,300148,天舟文化,4.2,26.57,43.0012,182.2229,0.2156,685.8057,0.8116
2133,002492,恒基达鑫,4.2,27.16,48.2022,51.9904,0.1283,191.3634,0.4725
2134,600590,泰豪科技,4.2,4.86,19.4757,161.0433,0.1858,3309.4661,3.8202
2135,600640,号百控股,4.19,7.25,26.6745,184.7452,0.2321,2547.3558,3.2014
2136,600111,北方稀土,4.18,4.07,14.3765,379.3934,0.1044,9316.5258,2.5643
2137,600963,岳阳林纸,4.18,6.81,22.8299,341.0287,0.2439,5001.9776,3.5786
2138,000565,渝三峡A,4.18,7.65,19.5491,45.1935,0.1042,590.5202,1.3619
2139,002552,*ST宝鼎,4.17,11.51,19.9214,25.1894,0.0822,218.7013,0.7141
2140,300493,润欣科技,4.17,2.36,10.405999999999999,30.9358,0.0972,1307.7694,4.1118
2141,300177,中海达,4.16,8.89,50.5843,74.1155,0.1658,833.3423,1.8647
2142,002277,友阿股份,4.16,4.08,21.2815,216.3348,0.1527,5301.5801,3.7424
2143,601113,华鼎股份,4.16,5.36,24.3068,236.8017,0.2126,4417.5421,3.966
2144,600067,冠城大通,4.16,6.18,32.0392,305.3202,0.2046,4937.5822,3.3091
2145,600039,四川路桥,4.16,2.24,8.8994,551.6704,0.1527,24610.9168,6.8164
2146,603768,常青股份,4.15,4.96,18.8495,70.1066,0.3436,1413.2337,6.9276
2147,300328,宜安科技,4.15,7.36,23.3216,51.1265,0.111,694.6419,1.5091
