code,name,roe,net_profit_ratio,net_profits,eps,cf_sales,rateofreturn,cashflowratio
600067,冠城大通,1.81,4.29,130.1574,0.0872,,0.0022,
600068,葛洲坝,4.76,4.23,1952.9737,0.4241,,0.0022,
600069,银鸽投资,0.43,0.65,9.1795,0.0056,,0.0022,
600070,浙江富润,3.27,7.07,75.5161,0.1446,,0.0022,
600071,凤凰光学,-0.71,-0.82,-2.9912,-0.0125,,0.0022,
600072,中船科技,0.22,0.56,8.1861,0.0111,,0.0022,
600073,上海梅林,7.64,2.46,291.0837,0.3104,,0.0022,
600074,*ST保千,,-261.86,-222.1798,-0.0911,,0.0022,
600075,新疆天业,4.98,9.24,225.0405,0.2313,,0.0022,
600076,康欣新材,7.59,21.6,269.3991,0.2604,,0.0022,
600077,宋都股份,3.03,9.74,116.1282,0.0866,,0.0022,
600078,澄星股份,0.57,0.78,10.77,0.0162,,0.0022,
600079,人福医药,3.64,5.67,501.6987,0.3706,,0.0022,
600080,金花股份,1.14,5.68,20.0935,0.0538,,0.0022,
600081,东风科技,7.31,3.08,98.7835,0.315,,0.0022,
600082,海泰发展,0.55,2.37,9.3328,0.0144,,0.0022,
600083,博信股份,17.31,1.21,13.4581,0.0585,,0.0022,
600084,中葡股份,-2.08,-21.74,-47.8825,-0.0426,,0.0022,
600085,同仁堂,7.33,8.79,639.373,0.4661,,0.0022,
600086,东方金钰,0.95,1.39,31.0797,0.023,,0.0022,
600088,中视传媒,4.8,16.62,53.8471,0.1353,,0.0022,
600089,特变电工,4.47,7.65,1424.8210000000001,0.3835,,0.0022,
600090,同济堂,3.78,4.42,229.0652,0.1591,,0.0022,
600091,ST明科,-0.63,-11.83,-5.6741,-0.0129,,0.0022,
600093,易见股份,5.89,4.75,418.5232,0.3728,,0.0022,
600094,大名城,2.24,5.59,265.324,0.1071,,0.0022,
600095,哈高科,-1.78,-18.32,-12.802999999999999,-0.0354,,0.0022,
600096,云天化,1.64,0.28,65.9803,0.0499,,0.0022,
600097,开创国际,1.17,1.87,17.5768,0.0729,,0.0022,
600098,广州发展,2.68,3.54,435.5733,0.1597,,0.0022,
600099,林海股份,0.04,0.08,0.2184,0.0009,,0.0022,
600100,同方股份,-1.64,-3.18,-334.9924,-0.113,,0.0022,
600101,明星电力,2.55,7.13,54.5478,0.1682,,0.0022,
600103,青山纸业,3.7,8.21,126.9403,0.0715,,0.0022,
600104,上汽集团,8.61,4.15,18981.8634,1.6246,,0.0022,
600105,永鼎股份,3.02,5.69,80.0775,0.0639,,0.0022,
600106,重庆路桥,4.77,139.2,168.15400000000002,0.153,,0.0022,
600107,美尔雅,-0.1,-0.24,-0.555,-0.0015,,0.0022,
600108,亚盛集团,0.95,4.57,45.3869,0.0233,,0.0022,
600109,国金证券,2.61,29.6,495.5685,0.1638,,0.0022,
